Time [s],Channel 3
13.321526400,1
13.321530700,0
13.321539400,1
13.321543800,0
13.321548100,1
13.321561200,0
13.321569800,1
13.321574200,0
13.321600200,1
13.321604600,0
13.321613300,1
13.321617600,0
13.321622000,1
13.321630700,0
13.321639300,1
13.321652400,0
13.321656700,1
13.321661100,0
13.321665400,1
13.321669700,0
13.321674100,1
13.321678400,0
13.321687100,1
13.321695800,0
13.321700100,1
13.322343700,0
13.322348100,1
13.322352400,0
13.322356700,1
13.322361100,0
13.322369800,1
13.322378500,0
13.322382800,1
13.322387200,0
13.322413200,1
13.322417600,0
13.322426200,1
13.322430600,0
13.322434900,1
13.322439300,0
13.322456700,1
13.322465300,0
13.322469700,1
13.322474000,0
13.322495700,1
13.322508800,0
13.322513100,1
13.322517500,0
13.322539200,1
13.322552200,0
13.322556600,1
13.322560900,0
13.322573900,1
13.322582600,0
13.322587000,1
13.322595700,0
13.322600000,1
13.322604300,0
13.322608700,1
13.322613000,0
13.322621700,1
13.322626100,0
13.322630400,1
13.322639100,0
13.322643400,1
13.322647800,0
13.322652100,1
13.322660800,0
13.322673800,1
13.322682500,0
13.322686900,1
13.322691200,0
13.322695600,1
13.322699900,0
13.322717300,1
13.322726000,0
13.322730300,1
13.322734700,0
13.322747700,1
13.322752000,0
13.322756400,1
13.322769400,0
13.322773700,1
13.322778100,0
13.322782400,1
13.322786800,0
13.322795500,1
13.322799800,0
13.322804100,1
13.322812800,0
13.322817200,1
13.322821500,0
13.322825900,1
13.322843200,0
13.322847600,1
13.322856300,0
13.322860600,1
13.322865000,0
13.322873600,1
13.322886700,0
13.322891000,1
13.322899700,0
13.322904100,1
13.322908400,0
13.322912700,1
13.322921400,0
13.322930100,1
13.322943100,0
13.322947500,1
13.322951800,0
13.322956200,1
13.322973600,0
13.322977900,1
13.322982200,0
13.322990900,1
13.322995300,0
13.322999600,1
13.323008300,0
13.323017000,1
13.323030000,0
13.323034400,1
13.323038700,0
13.323043000,1
13.323047400,0
13.323051700,1
13.323056100,0
13.323064800,1
13.323073500,0
13.323077800,1
13.323082100,0
13.323090800,1
13.323095200,0
13.323103900,1
13.323116900,0
13.323121200,1
13.323125600,0
13.323134300,1
13.323143000,0
13.323147300,1
13.323160300,0
13.323164700,1
13.323169000,0
13.323173400,1
13.323177700,0
13.323186400,1
13.323190700,0
13.323195100,1
13.323203800,0
13.323208100,1
13.323212500,0
13.323216800,1
13.323225500,0
13.323238500,1
13.323247200,0
13.323251500,1
13.323255900,0
13.323260200,1
13.323264600,0
13.323268900,1
13.323273300,0
13.323282000,1
13.323290600,0
13.323295000,1
13.323299300,0
13.323303700,1
13.323312400,0
13.323321000,1
13.323334100,0
13.323338400,1
13.323342800,0
13.323347100,1
13.323364500,0
13.323368800,1
13.323373200,0
13.323381900,1
13.323386200,0
13.323390500,1
13.323403600,0
13.323412300,1
13.323421000,0
13.323425300,1
13.323429600,0
13.323434000,1
13.323438300,0
13.323442700,1
13.323447000,0
13.323451400,1
13.323464400,0
13.323468700,1
13.323473100,0
13.323477400,1
13.323481800,0
13.323490400,1
13.323494800,0
13.323499100,1
13.323507800,0
13.323512200,1
13.323516500,0
13.323520900,1
13.323538200,0
13.323542600,1
13.323546900,0
13.323555600,1
13.323560000,0
13.323568600,1
13.323577300,0
13.323581700,1
13.323594700,0
13.323599000,1
13.323603400,0
13.323607700,1
13.323612100,0
13.323620800,1
13.323625100,0
13.323629400,1
13.323638100,0
13.323642500,1
13.323646800,0
13.323651200,1
13.323655500,0
13.323659900,1
13.323664200,0
13.323672900,1
13.323681600,0
13.323685900,1
13.324342300,0
13.324346700,1
13.324359700,0
13.324364100,1
13.324377100,0
13.324381400,1
13.324385800,0
13.324390100,1
13.324411800,0
13.324416200,1
13.324420500,0
13.324424900,1
13.324429200,0
13.324450900,1
13.324464000,0
13.324468300,1
13.324472700,0
13.324477000,1
13.324494400,0
13.324498700,1
13.324507400,0
13.324511700,1
13.324516100,0
13.324524800,1
13.324529100,0
13.324537800,1
13.324550800,0
13.324555200,1
13.324559500,0
13.324572600,1
13.324576900,0
13.324581200,1
13.324594300,0
13.324598600,1
13.324603000,0
13.324611700,1
13.324624700,0
13.324629000,1
13.324633400,0
13.324642100,1
13.324646400,0
13.324650700,1
13.324659400,0
13.324672500,1
13.324681200,0
13.324685500,1
13.324689800,0
13.324698500,1
13.324702900,0
13.324707200,1
13.324720200,0
13.324728900,1
13.324733300,0
13.324737600,1
13.324742000,0
13.324755000,1
13.324763700,0
13.324772400,1
13.324776700,0
13.324794100,1
13.324807100,0
13.324815800,1
13.324820200,0
13.324824500,1
13.324828800,0
13.324833200,1
13.324837500,0
13.324841900,1
13.324850600,0
13.324859200,1
13.324863600,0
13.324867900,1
13.324872300,0
13.324876600,1
13.324885300,0
13.324902700,1
13.324907000,0
13.324915700,1
13.324920100,0
13.324924400,1
13.324928700,0
13.324946100,1
13.338068000,0
13.338172200,1
13.338276400,0
13.339005600,1
13.339110900,0
13.339215000,1
13.339319200,0
13.340048400,1
20.205397700,0
20.205406400,1
20.205423800,0
20.205441100,1
20.205449800,0
20.205458500,1
20.205467200,0
20.205475900,1
20.211251800,0
20.211260500,1
20.211286600,0
20.211295200,1
20.211303900,0
20.211312600,1
20.211321300,0
20.211330000,1
20.217251600,0
20.217277600,1
20.217286300,0
20.217303700,1
20.217321100,0
20.217329800,1
20.223249900,0
20.223258500,1
20.223267200,0
20.223275900,1
20.223284600,0
20.223293300,1
20.223319400,0
20.223328000,1
20.229249800,0
20.229267200,1
20.229275900,0
20.229301900,1
20.229319300,0
20.229328000,1
20.235251500,0
20.235260200,1
20.235277600,0
20.235294900,1
20.235312300,0
20.235329700,1
20.241251400,0
20.241268800,1
20.241277500,0
20.241286200,1
20.241294900,0
20.241312200,1
20.241320900,0
20.241329600,1
20.247249300,0
20.247275400,1
20.247292800,0
20.247301400,1
20.247318800,0
20.247327500,1
20.253249500,0
20.253258200,1
20.253266900,0
20.253284200,1
20.253292900,0
20.253310300,1
20.253319000,0
20.253327700,1
20.259249400,0
20.259258100,1
20.259284200,0
20.259310200,1
20.259318900,0
20.259327600,1
20.265249300,0
20.265266700,1
20.265284100,0
20.265310100,1
20.265318800,0
20.265327500,1
20.271249300,0
20.271257900,1
20.271275300,0
20.271292700,1
20.271318800,0
20.271327400,1
20.277249200,0
20.277266500,1
20.277275200,0
20.277301300,1
20.277318700,0
20.277327400,1
20.283249100,0
20.283257800,1
20.283275200,0
20.283309900,1
20.283318600,0
20.283327300,1
20.289249000,0
20.289266400,1
20.289275100,0
20.289309800,1
20.289318500,0
20.289327200,1
20.295248900,0
20.295257600,1
20.295283700,0
20.295292400,1
20.295318400,0
20.295327100,1
20.301248800,0
20.301257500,1
20.301274900,0
20.301301000,1
20.301318300,0
20.301327000,1
20.307248800,0
20.307257400,1
20.307266100,0
20.307274800,1
20.307292200,0
20.307300900,1
20.307318300,0
20.307326900,1
20.313248700,0
20.313266100,1
20.313283400,0
20.313292100,1
20.313300800,0
20.313309500,1
20.313318200,0
20.313326900,1
20.319248600,0
20.319266000,1
20.319274700,0
20.319292000,1
20.319309400,0
20.319326800,1
20.325248500,0
20.325257200,1
20.325265900,0
20.325300600,1
20.325318000,0
20.325326700,1
20.331248400,0
20.331257100,1
20.331283200,0
20.331291900,1
20.331300600,0
20.331309200,1
20.331317900,0
20.331326600,1
20.337248400,0
20.337257000,1
20.337265700,0
20.337283100,1
20.337309200,0
20.337326500,1
20.343248300,0
20.343257000,1
20.343265700,0
20.343291700,1
20.343309100,0
20.343326500,1
20.349248200,0
20.349256900,1
20.349274300,0
20.349300300,1
20.349317700,0
20.349326400,1
20.355248100,0
20.355256800,1
20.355265500,0
20.355282900,1
20.355317600,0
20.355326300,1
20.361248000,0
20.361265400,1
20.361274100,0
20.361308800,1
20.361317500,0
20.361326200,1
20.367247900,0
20.367291400,1
20.367317400,0
20.367326100,1
20.373247900,0
20.373265200,1
20.373273900,0
20.373300000,1
20.373317400,0
20.373326000,1
20.379247800,0
20.379265200,1
20.379291200,0
20.379299900,1
20.379317300,0
20.379326000,1
20.385247700,0
20.385265100,1
20.385291100,0
20.385308500,1
20.385317200,0
20.385325900,1
20.391247600,0
20.391291100,1
20.391308400,0
20.391325800,1
20.397247500,0
20.397256200,1
20.397273600,0
20.397299700,1
20.397317000,0
20.397325700,1
20.403247500,0
20.403264800,1
20.403290900,0
20.403299600,1
20.403317000,0
20.403325600,1
20.409247400,0
20.409264700,1
20.409282100,0
20.409290800,1
20.409299500,0
20.409308200,1
20.409316900,0
20.409325600,1
20.415247300,0
20.415264700,1
20.415273400,0
20.415282000,1
20.415290700,0
20.415299400,1
20.415316800,0
20.415325500,1
20.421247200,0
20.421273300,1
20.421282000,0
20.421299300,1
20.421316700,0
20.421325400,1
20.427247100,0
20.427255800,1
20.427281900,0
20.427307900,1
20.427316600,0
20.427325300,1
20.433247000,0
20.433273100,1
20.433290500,0
20.433299200,1
20.433316500,0
20.433325200,1
20.439248800,0
20.439266200,1
20.439283500,0
20.439292200,1
20.439318300,0
20.439327000,1
20.445246600,0
20.445264000,1
20.445272700,0
20.445298700,1
20.445316100,0
20.445324800,1
20.451246800,0
20.451264200,1
20.451290200,0
20.451298900,1
20.451316300,0
20.451325000,1
20.457246400,0
20.457255100,1
20.457263800,0
20.457272500,1
20.457289800,0
20.457307200,1
20.457315900,0
20.457324600,1
20.463246600,0
20.463255300,1
20.463264000,0
20.463272700,1
20.463281400,0
20.463290100,1
20.463316100,0
20.463324800,1
20.469246600,0
20.469255200,1
20.469263900,0
20.469281300,1
20.469290000,0
20.469307400,1
20.469316100,0
20.469324700,1
20.475247800,0
20.475256400,1
20.475265100,0
20.475273800,1
20.475282500,0
20.475308600,1
20.475317300,0
20.475325900,1
20.481246400,0
20.481255100,1
20.481263800,0
20.481281100,1
20.481307200,0
20.481324600,1
20.487246300,0
20.487255000,1
20.487263700,0
20.487289700,1
20.487307100,0
20.487324500,1
20.493247900,0
20.493273900,1
20.493282600,0
20.493300000,1
20.493317400,0
20.493326100,1
20.499247000,0
20.499281700,1
20.499290400,0
20.499307800,1
20.499316500,0
